Person,Arousal,Valence
A,0.534501493,0.895477384
B,0.349264119,0.774074835
C,0.688748602,0.914786465
D,0.749551208,0.353563656
E,0.63315686,0.366699301
F,0.247544483,0.168792135
G,0.002669896,0.473864519
H,0.681891288,0.241274665
I,0.124853232,0.876988699
J,0.5779327,0.770260292
K,0.656260524,0.271554391
L,0.254130718,0.497123123
N,0.299335549,0.899411241
M,0.725768836,0.205538406
O,0.523440864,0.129538339
P,0.869010045,0.330485127
Q,0.056451697,0.912764186
R,0.098069034,0.239544307
S,0.470515938,0.328148282
T,0.061508169,0.93794731
U,0.527628307,0.362491961
V,0.029301814,0.263489681
W,0.785962666,0.83631738
X,0.284131609,0.982561398
Y,0.638337501,0.81845018
Z,0.91319254,0.398743966
